id,club,player,reason,return_date,status,club_abbr,scraped_at,source_url
cd16a08a-6db6-4b58-9dfb-a9f0e7621caf,Nottingham Forest,John Victor,Knee Injury,01/06/2026,Not Available - Ruled Out,NFO,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
cd6126a1-cc27-4c6a-9f56-3053bc805171,Burnley,Josh Laurent,Suspended,19/04/2026,Not Available - Ruled Out,BUR,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
cdb91033-c900-41d0-85da-6bbec5f2b00c,Tottenham Hotspur,Mohammed Kudus,Thigh Injury,No Return Date,Not Available - Ruled Out,TOT,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
cec9b4ae-e6c0-4abb-843a-d5db029bf4fe,Newcastle United,Lewis Miley,Thigh Injury,12/04/2026,Passed Fit - 100%,NEW,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
cf6eb798-743c-462b-94ae-459d0343735d,Newcastle United,Emil Krafth,Knee Injury,01/06/2026,Not Available - Ruled Out,NEW,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
d11f845d-6cc1-4f8d-9c12-4e3c15bef9af,West Ham United,Lukasz Fabianski,Lower Back Injury,No Return Date,Not Available - Ruled Out,WHU,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
d1c09a5b-57ca-424d-aab5-d8fa157ef8d7,Arsenal,Martin Odegaard,Knee Injury,15/04/2026,Currently Being Assessed - 25%,ARS,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
d1e814ca-19a7-47f0-8a85-2b8b129c77d3,Liverpool,Conor Bradley,Knee Injury,21/11/2026,Not Available - Ruled Out,LFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
d8c4eb6a-0e03-4bbd-87dc-6596539927be,Crystal Palace,Cheick Doucoure,Other,12/04/2026,Late Fitness Test - 25%,CRY,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
da3a8cdd-0c98-4c09-ba92-d175c514a8fb,Manchester United,Patrick Dorgu Larsson,Thigh Injury,27/04/2026,Not Available - Ruled Out,MUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
e6adc697-6f47-46f1-9300-5d097a02cd76,Chelsea,Benoit Badiashile Mukinayi Baya,Illness,12/04/2026,Late Fitness Test - 75%,CFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
ea532208-f3a3-4dfa-8eba-1f06426f9c01,Manchester United,Benjamin Sesko,Other,13/04/2026,Late Fitness Test - 75%,MUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
ef1acce3-5ade-4778-8d59-9b7446cbd1df,Liverpool,Alisson Becker,Other,03/05/2026,Not Available - Ruled Out,LFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
ef1eb1e1-8f26-49ad-860e-4ebb70e59550,Everton,Carlos Alcaraz Duran,Other,19/04/2026,Currently Being Assessed - 25%,EVE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
f092cb5d-d63f-427a-b397-7f7260dc9e82,Fulham,Harrison Reed,Knee Injury,25/04/2026,Not Available - Ruled Out,FUL,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
f4ed4ec0-fb0d-49a0-88d1-c0c0de214ac1,Brentford,Antoni Milambo,Knee Injury,10/08/2026,Not Available - Ruled Out,BRE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
feef8202-8f04-4ecb-ac91-7da0bfff4fe1,Tottenham Hotspur,Ben Davies,Ankle/Foot Injury,25/04/2026,Not Available - Ruled Out,TOT,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
